time,Activity,Accelerometer.X,Accelerometer.Y,Accelerometer.Z,ID,Ind_ID
2014-09-13 10:29:36,CLIP,-0.69,-0.5,0.56,G!_Bk!,G!_Bk!
2014-09-13 10:29:37,CLIP,-1.44,0.06,-0.56,G!_Bk!,G!_Bk!
2014-09-13 10:29:37,CLIP,-1.44,0.06,-0.56,G!_Bk!,G!_Bk!
2014-09-13 10:29:38,CLIP,-0.81,-0.19,-0.56,G!_Bk!,G!_Bk!
2014-09-13 10:29:38,CLIP,-0.81,-0.19,-0.56,G!_Bk!,G!_Bk!
2014-09-13 10:29:39,CLIP,-0.5,-0.19,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:39,CLIP,-0.5,-0.19,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:40,CLIP,-0.25,-0.19,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:40,CLIP,-0.25,-0.19,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:41,CLIP,-0.81,-0.13,-0.5,G!_Bk!,G!_Bk!
2014-09-13 10:29:41,CLIP,-0.81,-0.13,-0.5,G!_Bk!,G!_Bk!
2014-09-13 10:29:42,CLIP,0.56,0.44,-0.44,G!_Bk!,G!_Bk!
2014-09-13 10:29:43,notMoving,0.19,0.13,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:44,notMoving,0.19,-0.13,-1.81,G!_Bk!,G!_Bk!
2014-09-13 10:29:45,CLIP,0.13,-0.25,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:46,CLIP,0.13,-0.31,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:46,CLIP,0.13,-0.31,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:47,CLIP,0.19,0.5,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:29:47,CLIP,0.19,0.5,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:29:48,CLIP,0.19,0.25,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:48,CLIP,0.19,0.25,-1.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:49,CLIP,0.56,-0.06,0.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:49,CLIP,0.56,-0.06,0.06,G!_Bk!,G!_Bk!
2014-09-13 10:29:50,CLIP,0.69,-0.31,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:29:50,CLIP,0.69,-0.31,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:29:51,CLIP,0.25,-0.38,-1.13,G!_Bk!,G!_Bk!
2014-09-13 10:29:51,CLIP,0.25,-0.38,-1.13,G!_Bk!,G!_Bk!
2014-09-13 10:29:52,CLIP,-0.63,0.38,-0.13,G!_Bk!,G!_Bk!
2014-09-13 10:29:52,CLIP,-0.63,0.38,-0.13,G!_Bk!,G!_Bk!
2014-09-13 10:29:53,CLIP,-1.25,0.69,-0.69,G!_Bk!,G!_Bk!
2014-09-13 10:29:53,CLIP,-1.25,0.69,-0.69,G!_Bk!,G!_Bk!
2014-09-13 10:29:54,CLIP,-0.81,0.31,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:54,CLIP,-0.81,0.31,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:55,CLIP,-1.19,0.31,-1.38,G!_Bk!,G!_Bk!
2014-09-13 10:29:55,CLIP,-1.19,0.31,-1.38,G!_Bk!,G!_Bk!
2014-09-13 10:29:56,CLIP,-0.5,-0.19,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:29:56,CLIP,-0.5,-0.19,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:29:57,CLIP,0.5,-0.13,-0.63,G!_Bk!,G!_Bk!
2014-09-13 10:29:57,CLIP,0.5,-0.13,-0.63,G!_Bk!,G!_Bk!
2014-09-13 10:29:58,CLIP,0.38,0.06,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:58,CLIP,0.38,0.06,-1,G!_Bk!,G!_Bk!
2014-09-13 10:29:59,CLIP,-0.25,0.5,-0.5,G!_Bk!,G!_Bk!
2014-09-13 10:29:59,CLIP,-0.25,0.5,-0.5,G!_Bk!,G!_Bk!
2014-09-13 10:30:00,CLIP,0.44,0.81,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:30:00,CLIP,0.44,0.81,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:30:01,CLIP,0.69,1.25,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:30:01,CLIP,0.69,1.25,-0.25,G!_Bk!,G!_Bk!
2014-09-13 10:30:02,CLIP,0.25,0.75,-0.56,G!_Bk!,G!_Bk!
2014-09-13 10:30:02,CLIP,0.25,0.75,-0.56,G!_Bk!,G!_Bk!
2014-09-13 10:30:03,CLIP,0.5,-0.13,-0.5,G!_Bk!,G!_Bk!
2014-09-13 10:30:03,CLIP,0.5,-0.13,-0.5,G!_Bk!,G!_Bk!
2014-09-13 10:30:04,CLIP,0.31,-0.25,-1,G!_Bk!,G!_Bk!
2014-09-13 10:30:04,CLIP,0.31,-0.25,-1,G!_Bk!,G!_Bk!
2014-09-13 10:30:05,CLIP,-0.13,-0.5,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:30:05,CLIP,-0.13,-0.5,-0.81,G!_Bk!,G!_Bk!
2014-09-13 10:30:06,CLIP,0.69,-0.06,0.94,G!_Bk!,G!_Bk!
2014-09-13 10:30:06,CLIP,0.69,-0.06,0.94,G!_Bk!,G!_Bk!
2014-09-13 10:30:07,CLIP,0.38,-0.56,0.19,G!_Bk!,G!_Bk!
2014-09-13 10:30:07,CLIP,0.38,-0.56,0.19,G!_Bk!,G!_Bk!
2014-09-13 10:30:08,CLIP,-0.06,-0.56,-1.19,G!_Bk!,G!_Bk!
2014-09-13 10:30:08,CLIP,-0.06,-0.56,-1.19,G!_Bk!,G!_Bk!
2014-09-13 10:30:09,CLIP,0.06,-0.81,-0.13,G!_Bk!,G!_Bk!
2014-09-13 10:30:09,CLIP,0.06,-0.81,-0.13,G!_Bk!,G!_Bk!
2014-09-13 10:30:10,CLIP,-0.06,-0.94,0.81,G!_Bk!,G!_Bk!
2014-09-13 10:30:10,CLIP,-0.06,-0.94,0.81,G!_Bk!,G!_Bk!
2014-09-13 10:30:11,CLIP,0.13,-0.25,-0.75,G!_Bk!,G!_Bk!
